,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_GATA2,4_KIT,5_NPM1,6_chr6,7_EZH2,9_JAK2,10_chr10,11_WT1,12_KRAS,12_PTPN11,13_FLT3,14_chr14,15_IDH2,16_chr16,17_TP53,17_SRSF2,18_chr18,20_ASXL1,21_RUNX1,21_U2AF1
0,60,34,31,4,3,43,39,40,45,0,68,85,57,25,95,19,21,40,56,2,18,21,14,46
1,83,33,81,53,26,71,57,64,78,11,76,103,84,34,128,21,16,95,95,8,21,45,46,45
2,43,47,154,46,16,118,15,85,124,10,89,132,41,71,282,23,54,90,142,14,31,67,43,53
3,65,13,117,40,6,40,18,44,69,0,35,57,46,19,132,9,39,29,119,0,11,15,13,52
4,59,16,64,40,15,48,27,86,74,18,65,71,73,40,83,7,18,47,82,4,30,36,58,43
5,49,9,67,6,9,35,1,79,15,2,31,44,52,30,115,14,11,26,81,0,14,45,37,43
6,45,6,123,70,14,44,0,37,43,0,43,48,33,16,227,25,32,29,125,2,13,45,30,92
7,46,9,141,18,14,44,1,39,51,2,35,58,42,40,137,18,25,20,88,2,4,58,13,23
8,42,24,78,42,1,22,2,46,36,7,42,59,51,21,132,18,22,24,30,4,18,1,16,53
9,51,16,86,36,6,29,30,49,40,7,41,49,65,26,129,5,6,44,95,0,18,18,12,44
10,41,17,58,30,13,27,19,67,65,1,31,53,59,42,135,7,13,36,81,0,14,39,22,56
11,55,16,22,27,0,31,0,57,40,4,14,40,34,21,82,8,29,27,50,16,16,40,17,31
12,47,27,111,39,13,18,8,74,48,18,43,41,80,37,181,25,30,38,117,2,17,31,56,63
13,58,18,99,31,1,56,16,52,62,0,40,33,72,2,159,1,13,37,103,2,13,21,19,52
14,40,18,39,23,0,36,28,39,34,14,24,64,20,39,74,10,34,36,50,0,8,28,17,25
15,51,5,47,28,15,57,20,35,59,4,60,61,44,32,116,17,14,52,72,4,33,25,32,43
16,108,26,199,86,24,75,32,171,92,25,90,151,93,75,295,20,35,67,202,2,32,92,105,93
17,21,17,64,28,9,57,2,41,11,0,27,23,41,6,95,12,7,11,46,2,13,27,7,42
18,44,8,52,24,11,17,14,63,51,17,15,53,60,38,107,12,36,33,62,2,18,15,22,50
19,58,12,70,22,18,18,8,48,42,4,25,33,38,25,62,16,21,23,71,2,7,16,17,48
20,81,11,145,45,14,18,5,56,49,19,30,46,30,26,211,9,42,20,152,2,15,76,14,53
21,47,14,76,32,4,33,7,53,41,3,40,52,61,34,83,18,7,43,86,0,20,37,27,50
22,26,15,81,34,11,35,18,68,50,7,26,34,58,35,107,8,17,23,81,2,16,42,22,66
23,59,0,23,34,8,50,10,25,36,0,36,22,55,33,93,12,29,43,73,2,15,36,15,49
24,63,14,59,26,6,31,44,37,41,6,41,58,28,35,114,12,23,50,74,6,21,32,33,46
25,88,46,125,64,18,68,8,61,69,4,69,88,85,35,208,15,48,76,144,2,21,58,69,95
26,81,44,123,52,28,84,33,84,48,16,37,72,79,33,231,18,18,50,161,8,28,31,76,83
27,66,17,45,26,15,49,41,54,68,15,60,64,55,38,116,14,28,65,80,6,21,27,38,51
28,58,4,81,48,38,28,41,75,44,10,40,70,71,57,160,6,16,15,95,4,21,50,29,61
29,45,11,52,27,3,37,12,28,40,12,26,62,52,22,92,16,15,34,42,6,13,26,33,16
30,88,34,115,55,16,49,0,87,85,32,87,91,76,74,194,11,32,75,116,20,46,69,59,63
31,73,18,160,66,43,88,26,91,63,12,95,94,44,33,160,13,29,64,159,12,17,63,42,65
32,48,15,54,26,4,40,49,59,56,8,46,68,55,31,70,13,17,54,63,10,18,29,27,35
33,58,20,89,22,15,46,34,32,42,17,11,71,62,21,122,16,39,41,73,2,14,30,23,15
34,98,31,123,44,3,74,11,51,85,2,82,118,95,53,156,29,47,43,171,0,28,38,28,111
35,27,8,77,42,4,47,27,42,55,4,34,47,49,23,154,18,37,27,46,2,14,45,64,61
36,111,47,112,70,6,83,40,137,83,4,76,112,2,66,255,32,25,79,116,10,29,30,29,95
37,30,13,65,26,6,27,27,42,42,13,31,61,15,28,96,7,12,23,63,0,12,25,12,23
38,42,30,135,69,11,52,8,70,76,7,43,105,60,27,303,20,14,28,164,0,27,90,35,79
39,79,0,101,71,5,28,23,79,79,9,48,63,61,27,265,13,46,30,146,0,15,78,25,111
40,48,41,123,23,30,41,6,71,88,36,40,70,86,59,228,15,23,35,150,4,13,61,64,69
41,28,23,66,41,3,37,34,66,48,6,24,37,35,42,110,19,11,34,51,4,15,35,44,44
42,52,8,60,26,0,32,35,54,56,16,30,36,63,27,118,7,28,48,74,0,8,17,12,29
43,55,31,129,32,11,47,2,67,67,13,56,39,80,21,162,25,7,44,56,3,16,36,31,56
44,65,37,106,54,20,75,36,58,87,33,65,79,54,55,204,13,48,83,77,2,20,49,70,66
45,57,11,108,53,10,74,5,82,48,2,50,54,39,17,158,14,38,26,164,2,17,42,37,72
46,67,49,135,83,14,123,70,150,118,32,116,109,109,97,304,35,35,83,172,18,50,82,55,136
47,40,21,40,31,0,62,10,62,66,13,45,80,71,51,157,1,27,61,76,2,17,43,11,66
48,72,14,103,56,4,60,13,75,74,1,26,54,61,47,159,11,31,51,67,2,12,50,14,65
49,40,13,107,47,20,37,3,88,61,2,26,39,16,26,149,9,47,16,122,4,4,54,32,83
50,67,9,63,57,13,69,7,67,31,2,30,39,67,42,165,13,38,27,96,0,16,55,26,89
51,43,12,47,18,9,32,20,56,42,0,27,37,38,23,73,13,17,43,36,6,6,17,14,22
52,51,32,80,59,15,62,12,64,77,14,40,82,40,38,223,15,48,37,129,6,15,67,56,45
53,45,13,142,20,12,47,10,36,18,0,16,44,48,18,160,15,32,19,112,0,5,25,43,32
54,36,8,48,44,0,20,6,38,45,5,31,30,44,26,81,7,20,22,36,2,17,14,19,51
55,111,41,121,43,9,89,44,84,64,15,80,90,71,46,233,22,38,80,135,12,17,64,17,75
56,49,26,80,22,11,50,3,78,61,10,48,75,50,30,125,17,25,47,43,4,10,14,38,55
57,53,2,80,44,6,25,12,39,34,1,33,46,32,22,127,4,15,10,68,0,16,38,22,47
58,79,33,154,50,26,75,14,77,96,11,39,94,99,53,273,10,33,41,135,2,35,57,31,79
59,47,31,100,48,0,50,26,81,80,20,48,86,87,47,94,22,36,53,81,6,24,29,37,44
60,50,20,92,38,10,37,12,46,72,12,46,48,45,36,189,10,12,21,144,8,4,55,51,72
61,52,31,102,39,10,16,19,70,63,5,36,83,59,20,90,16,32,33,40,14,22,18,15,40
62,69,3,106,34,1,21,3,84,60,10,39,31,38,24,142,8,29,19,122,4,8,47,8,27
63,55,36,133,91,25,120,25,46,122,32,121,147,117,58,275,37,46,42,115,0,26,83,70,68
64,49,21,71,33,0,45,19,54,38,17,54,68,49,24,140,18,29,44,78,2,10,35,35,46
65,74,45,128,74,6,96,82,95,91,7,86,113,136,46,181,25,54,101,103,19,20,47,40,78
66,52,22,115,57,34,34,11,63,41,1,39,43,18,39,175,2,40,37,80,0,16,53,27,63
67,87,8,133,49,24,43,2,85,35,3,42,49,56,62,180,17,20,38,180,4,15,48,32,77
68,68,15,92,49,9,40,0,45,77,20,25,40,81,25,204,12,44,36,131,2,11,41,39,92
69,56,26,26,56,16,67,10,103,41,0,12,73,24,28,80,9,36,90,31,4,36,31,28,23
70,45,16,118,30,14,38,21,53,52,4,41,52,15,35,172,15,54,34,119,2,12,39,33,32
71,29,21,49,32,6,36,15,51,41,5,30,51,31,27,106,11,17,40,72,2,14,24,28,21
72,35,26,81,16,23,37,25,55,52,12,56,50,56,27,124,10,26,39,43,12,13,32,3,34
73,65,0,37,22,0,50,20,68,37,13,48,63,71,33,159,22,0,71,122,0,22,54,40,55
74,44,25,60,39,14,40,38,39,52,12,49,61,86,43,180,14,12,49,86,4,19,19,16,27
75,38,17,73,31,12,44,6,30,17,2,41,47,44,34,157,21,32,20,91,3,17,32,24,65
76,51,19,74,40,11,40,0,43,41,12,44,43,39,21,118,12,8,66,80,0,15,35,70,36
77,34,10,51,28,4,21,31,49,51,12,46,58,52,23,98,14,24,42,43,2,20,30,40,28
78,51,31,101,36,17,53,5,78,83,21,46,78,61,36,181,20,41,68,107,2,12,34,69,50
79,50,13,47,26,21,33,2,60,47,11,29,47,27,15,89,8,28,20,40,4,2,18,19,44
80,90,35,64,69,23,44,25,93,102,8,74,64,57,31,204,15,61,54,156,0,20,61,70,83
