,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_GATA2,4_KIT,5_NPM1,6_chr6,7_EZH2,9_JAK2,10_chr10,11_WT1,12_KRAS,12_PTPN11,13_FLT3,14_chr14,15_IDH2,16_chr16,17_TP53,17_SRSF2,18_chr18,20_ASXL1,21_RUNX1,21_U2AF1
0,64,13,41,19,6,28,0,86,20,9,57,62,63,32,90,2,26,54,82,2,15,47,16,64
1,54,8,80,45,10,40,3,88,50,4,64,34,40,44,193,10,32,41,108,1,21,46,18,48
2,40,22,136,56,14,51,4,113,67,16,66,72,61,51,176,6,31,40,99,10,21,60,35,56
3,139,102,271,105,35,193,149,242,194,102,217,244,190,123,468,9,85,288,223,14,105,157,74,123
4,66,25,100,34,8,50,27,97,73,41,76,59,79,29,127,13,18,72,94,4,28,46,47,55
5,48,28,89,27,13,59,19,91,67,32,64,99,83,40,147,9,17,82,79,12,28,35,44,35
6,253,55,332,134,33,106,48,240,203,86,173,173,179,104,533,9,109,125,244,4,45,157,91,112
7,183,19,329,164,26,78,11,220,214,18,100,125,116,24,393,9,91,111,274,4,21,127,70,106
8,61,25,66,49,8,33,14,66,61,23,38,58,66,37,133,3,26,42,61,4,24,41,21,42
9,72,28,123,8,17,50,11,114,66,11,74,89,103,42,198,4,20,58,110,2,16,50,14,34
10,70,31,105,51,9,88,25,128,75,12,95,97,100,45,202,7,48,83,120,18,41,59,59,61
11,73,31,115,58,12,51,2,115,48,12,51,55,87,37,242,8,30,38,87,6,21,65,23,37
12,108,34,231,111,36,123,14,202,158,60,141,107,171,89,430,12,69,110,226,14,50,146,110,112
13,101,13,138,67,4,84,27,130,56,47,80,85,83,60,198,13,29,54,135,6,28,57,40,68
14,30,2,95,57,7,39,6,89,36,7,59,74,53,52,179,4,25,31,89,2,18,44,40,52
15,76,9,119,64,8,47,6,116,65,13,55,85,67,65,215,12,34,45,110,2,32,56,29,52
16,228,90,318,189,51,236,48,337,245,64,276,236,273,134,573,28,99,269,348,10,95,177,103,201
17,83,22,89,38,6,50,23,68,64,52,75,91,72,51,142,9,35,67,95,7,14,49,50,43
18,87,16,112,59,8,44,7,93,92,17,58,92,90,64,212,7,47,41,88,2,13,66,36,73
19,81,7,113,70,6,50,19,131,91,27,37,56,98,54,250,2,50,40,119,0,19,55,48,65
20,78,27,113,65,18,83,31,116,90,34,56,61,76,58,211,7,58,88,132,6,27,69,25,57
21,128,74,200,2,1,179,128,256,152,28,163,173,183,97,339,3,50,230,222,12,52,98,87,113
22,42,19,95,61,10,49,20,73,71,8,39,24,41,32,125,7,43,42,61,2,8,44,21,71
23,218,53,304,176,31,181,13,283,239,32,155,163,177,121,589,8,110,170,315,10,38,142,92,120
24,266,70,433,219,43,292,16,279,304,86,196,169,301,192,936,6,207,203,429,12,64,224,74,150
25,111,35,169,31,19,74,43,147,127,23,103,126,125,71,186,10,35,120,125,6,44,78,130,96
26,172,89,269,113,29,177,11,242,191,46,205,225,191,111,528,38,99,196,306,16,54,141,156,151
27,138,25,334,164,13,218,13,265,89,42,150,125,166,121,365,11,75,120,256,2,71,135,97,210
28,79,17,171,73,9,77,12,163,66,23,92,114,66,53,275,4,38,56,193,0,40,67,37,67
29,96,45,140,111,24,124,27,187,133,65,86,143,124,83,304,7,69,91,147,6,35,80,56,76
30,69,28,105,47,12,63,23,94,107,39,82,94,86,48,160,16,18,107,102,6,23,51,92,52
31,52,26,82,41,15,61,10,87,70,37,56,74,76,29,137,6,19,69,89,0,16,32,29,41
32,38,39,80,31,17,67,2,59,56,25,78,40,50,43,169,10,20,62,62,9,20,39,33,25
33,38,23,102,49,9,54,37,75,59,18,67,75,55,45,135,4,28,44,90,10,11,53,40,29
34,151,41,311,130,17,140,7,218,81,25,147,108,142,118,515,4,72,59,247,14,64,70,81,99
35,74,50,135,43,4,103,13,114,90,32,107,94,84,56,186,8,29,112,115,6,27,59,25,34
36,121,39,191,68,4,100,13,159,83,57,101,98,98,58,298,15,47,94,155,8,49,107,78,50
37,154,38,223,97,36,138,82,211,123,57,190,129,152,87,258,14,72,186,188,16,67,94,98,132
38,92,32,222,95,20,50,5,188,85,68,70,88,73,62,324,13,62,57,187,4,27,69,47,57
39,274,132,366,186,64,211,119,389,317,130,247,377,303,196,670,16,126,212,331,22,111,229,95,160
40,131,15,292,130,21,53,12,173,123,19,52,50,32,35,404,8,65,60,294,2,13,57,24,50
41,88,46,154,63,33,80,28,151,116,68,125,133,131,69,241,10,51,98,125,18,42,95,54,61
42,88,10,238,112,8,28,0,97,88,23,56,84,157,58,294,1,70,42,257,2,9,90,40,137
43,116,22,152,90,11,26,18,104,110,3,75,108,105,67,151,15,48,61,116,4,23,54,38,74
44,43,30,76,48,12,67,23,88,61,14,59,90,77,42,157,10,27,74,63,14,27,52,32,26
45,32,5,95,57,7,43,1,64,16,1,37,33,38,14,144,6,36,17,108,2,12,25,22,78
46,52,21,113,58,7,41,0,108,41,8,38,63,43,20,187,2,56,53,122,0,22,73,15,32
47,69,28,147,77,22,90,32,161,94,62,122,134,136,64,243,6,44,142,117,10,31,67,72,47
48,109,46,184,95,15,131,24,211,118,17,124,165,142,83,313,23,64,125,183,4,33,108,173,81
49,46,7,75,45,7,39,8,72,57,5,43,40,43,42,134,8,20,41,75,2,16,45,20,28
50,230,107,328,141,24,184,65,386,231,101,220,254,214,126,564,6,131,327,423,4,61,108,57,69
51,179,124,345,134,48,221,44,342,200,108,247,282,305,116,566,13,91,290,302,24,90,169,143,80
52,65,17,94,36,2,35,16,115,54,9,48,47,76,40,241,8,46,41,86,0,17,57,10,45
53,87,14,118,44,6,82,3,111,56,23,73,66,62,50,209,5,56,60,125,2,27,72,39,73
54,53,26,93,23,3,59,0,83,51,33,73,62,61,32,116,3,20,54,63,12,19,58,35,32
55,118,44,230,82,9,90,18,167,121,38,116,83,141,75,317,11,68,65,190,8,57,92,80,78
56,98,30,135,72,19,56,11,132,105,45,76,112,95,55,224,1,43,76,143,1,38,61,30,48
57,53,20,83,47,8,63,0,57,45,22,59,56,67,48,124,4,33,51,87,2,25,44,15,36
58,85,28,100,76,17,52,0,109,133,20,95,85,77,51,191,10,44,148,149,12,33,75,109,112
59,80,42,119,53,21,88,35,116,74,31,109,103,81,53,167,3,33,94,110,8,30,65,48,41
60,219,62,277,157,44,133,79,327,201,55,163,218,232,120,493,16,128,164,289,14,58,165,96,156
61,163,68,209,125,35,131,52,272,209,50,142,158,125,109,458,13,76,129,221,18,60,108,112,96
62,137,63,244,93,28,94,44,240,154,111,133,167,179,105,314,10,47,146,179,4,62,112,166,160
63,45,18,101,53,8,42,36,76,88,13,62,75,46,40,149,4,14,61,88,4,25,46,24,29
64,106,21,113,74,21,89,11,155,90,43,114,72,102,70,246,6,71,44,158,8,42,68,55,74
65,41,40,112,37,13,81,21,103,72,14,84,81,77,43,158,8,28,68,86,4,34,65,50,33
66,67,16,101,47,18,55,7,74,79,41,65,63,66,35,182,1,31,61,93,0,12,57,35,56
67,71,17,209,70,10,35,8,97,84,52,43,55,69,46,225,4,43,40,162,0,13,82,31,65
68,51,25,100,37,20,57,34,94,84,36,76,77,86,41,153,9,14,80,92,6,31,64,51,13
69,108,34,47,49,12,68,27,160,108,13,98,100,150,78,169,8,41,90,130,2,4,36,37,98
70,41,14,73,29,7,31,15,73,50,4,52,56,46,25,80,3,17,26,47,2,16,25,32,49
71,64,36,183,87,10,57,5,123,78,27,52,73,81,54,285,8,58,39,136,6,23,88,46,70
72,266,130,437,149,27,303,59,396,277,119,349,338,347,132,685,20,155,361,401,39,110,154,121,211
73,189,56,366,114,13,137,18,308,98,20,191,128,139,87,540,16,99,108,338,8,65,137,77,191
74,66,18,222,66,15,43,7,128,75,42,52,45,57,66,205,3,49,36,225,0,15,83,20,43
75,64,32,120,52,14,39,10,137,76,29,47,58,63,38,145,1,59,49,83,4,17,67,40,75
76,44,41,136,38,5,69,42,108,57,21,98,96,77,60,189,7,32,133,113,6,31,62,30,42
77,62,9,92,40,6,24,2,87,56,0,35,53,50,40,155,1,31,28,66,2,17,78,52,50
78,84,35,143,65,21,99,18,100,97,24,93,154,112,74,250,14,33,90,142,10,39,79,53,94
79,165,81,283,100,35,149,73,267,194,74,227,189,209,122,492,13,72,243,270,20,73,175,73,147
80,101,40,164,52,22,77,67,90,128,55,76,126,117,53,188,16,50,77,154,12,21,80,39,49
81,87,24,101,56,16,74,23,123,75,11,64,85,94,64,190,2,31,69,78,2,37,50,25,6
82,124,44,170,68,19,98,31,180,76,28,90,119,118,69,292,9,45,62,202,18,43,78,44,76
83,142,54,184,58,21,97,30,190,121,61,128,119,134,87,336,10,51,105,124,28,32,102,43,58
