,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_GATA2,4_KIT,5_NPM1,6_chr6,7_EZH2,9_JAK2,10_chr10,11_WT1,12_KRAS,12_PTPN11,13_FLT3,14_chr14,15_IDH2,16_chr16,17_TP53,17_SRSF2,18_chr18,20_ASXL1,21_RUNX1,21_U2AF1
0,79,17,77,27,2,54,38,82,49,18,65,67,52,42,135,2,29,8,68,2,21,52,23,73
1,47,16,65,18,11,43,17,55,51,35,31,42,54,27,116,4,16,15,47,8,15,40,65,36
2,63,5,78,23,12,54,39,51,58,11,45,82,58,47,134,2,24,13,78,2,13,42,50,46
3,39,19,120,49,3,38,17,73,96,14,45,67,71,21,152,5,21,12,127,4,30,34,20,72
4,90,46,143,56,12,74,40,67,91,94,57,81,104,74,265,7,27,16,133,2,36,89,74,107
5,58,14,188,51,7,51,8,43,43,11,61,94,67,58,218,0,41,17,160,6,23,36,4,60
6,27,15,53,34,12,30,6,26,43,10,17,71,45,20,84,0,26,7,61,0,32,16,15,33
7,45,9,95,33,8,35,35,71,80,16,27,42,67,36,174,4,23,19,101,0,21,68,24,71
8,90,26,85,47,1,72,30,91,85,30,55,77,94,44,109,17,46,24,92,0,18,44,63,50
9,80,10,125,51,5,59,0,20,50,17,19,52,63,28,159,0,33,9,124,0,14,17,32,90
10,47,7,58,27,7,45,5,60,25,0,23,27,19,31,143,4,16,3,68,0,8,40,26,51
11,104,34,121,39,15,84,46,62,80,44,62,78,97,60,168,1,40,10,115,20,22,54,25,32
12,61,21,110,36,10,76,36,86,50,12,58,94,85,49,185,8,35,17,99,2,32,55,78,56
13,38,19,58,33,6,35,16,41,33,16,42,39,43,28,102,2,13,8,62,10,20,36,32,39
14,63,13,86,49,5,28,2,67,41,8,23,57,32,22,158,1,64,4,87,2,6,33,57,62
15,58,15,83,23,1,66,17,54,22,2,18,61,43,33,141,4,23,23,58,10,32,41,45,65
16,45,19,88,40,6,36,4,51,18,2,21,50,45,43,114,4,11,12,82,2,9,23,49,71
17,34,2,69,36,7,31,8,54,39,18,28,51,52,28,90,3,20,10,69,0,7,30,13,38
18,63,14,59,17,2,43,27,44,20,15,26,61,51,31,107,7,27,18,58,2,14,37,26,34
19,65,13,98,60,15,78,19,85,56,20,49,73,61,45,165,7,23,25,90,6,17,57,39,64
20,65,23,93,40,12,61,16,59,57,18,48,61,79,23,137,4,40,9,86,0,19,56,79,26
21,46,14,131,66,2,48,6,35,54,3,46,43,48,36,185,4,31,9,169,2,24,51,13,73
22,49,14,135,44,12,18,3,71,30,5,27,18,30,49,108,2,20,10,177,6,24,79,44,64
23,127,20,212,124,32,78,12,180,120,21,88,142,103,92,322,2,38,25,239,10,44,78,60,161
24,65,6,156,65,11,54,53,139,169,6,94,175,109,78,293,2,70,31,196,8,60,51,81,96
25,87,33,76,19,14,25,23,47,33,6,53,63,49,21,97,3,28,11,55,19,11,21,35,51
26,59,16,142,44,10,55,9,86,76,11,41,99,45,60,191,5,19,11,66,2,32,59,27,40
27,35,14,99,37,12,49,6,94,78,7,46,77,72,43,164,1,27,15,118,0,30,57,60,42
28,113,16,142,66,14,64,10,77,58,32,71,106,87,80,193,3,45,20,168,2,28,96,103,120
29,164,12,232,95,21,72,22,112,127,40,39,158,95,82,262,8,65,15,208,0,37,93,100,181
30,45,21,90,31,10,32,50,69,54,54,41,83,52,53,139,2,17,16,69,6,25,50,30,71
31,48,15,146,101,9,36,4,109,49,27,40,130,37,81,160,2,48,15,132,4,29,63,45,134
32,100,22,128,29,11,56,6,109,58,0,56,114,29,56,256,9,19,10,116,0,22,64,52,113
33,79,25,88,39,10,32,45,48,54,16,37,90,31,57,125,4,35,2,78,2,27,61,60,78
34,113,27,211,75,18,142,47,186,122,44,118,160,140,90,323,15,56,17,177,48,41,62,132,115
35,104,22,119,68,7,77,8,89,56,4,49,86,72,52,182,6,30,13,123,4,20,55,35,90
36,40,23,67,33,10,43,49,41,50,12,41,46,52,34,100,0,15,14,66,8,6,24,28,34
37,92,55,150,76,22,106,34,115,108,37,118,140,114,55,295,1,66,19,207,6,37,10,174,98
38,142,35,131,67,18,64,40,117,119,19,102,134,127,73,290,7,51,21,127,2,41,67,77,114
39,47,25,48,37,7,38,54,76,68,12,49,83,65,42,137,2,20,12,78,10,21,30,28,85
40,103,41,86,61,14,70,10,70,62,5,74,73,65,33,235,15,54,29,97,10,33,40,40,81
41,54,5,217,30,0,41,3,72,36,7,30,92,45,23,204,7,13,11,128,0,17,48,26,84
42,85,13,93,44,21,66,30,86,70,28,68,100,86,47,152,9,25,17,81,4,26,17,83,75
43,31,7,83,32,7,55,12,83,73,13,28,64,61,27,125,6,31,11,91,0,22,44,61,42
44,97,14,122,54,12,41,46,99,72,32,68,108,109,45,187,7,51,8,88,0,26,35,71,48
45,98,24,248,70,13,46,47,106,88,1,90,92,41,67,235,6,46,16,42,26,36,52,65,127
46,67,27,172,45,2,85,19,122,84,20,80,51,105,69,179,2,34,12,134,0,20,44,54,94
47,41,15,64,25,9,38,35,56,49,16,37,63,42,31,97,1,27,12,52,10,3,28,54,38
48,111,30,169,59,15,123,30,117,101,43,63,140,82,92,240,4,26,28,155,6,46,74,110,107
49,49,6,76,21,5,57,10,29,46,8,39,56,51,27,115,2,41,18,57,0,18,5,11,64
50,71,19,11,49,9,83,10,50,24,39,33,72,62,41,170,2,23,17,127,0,21,35,69,64
51,36,22,56,23,0,57,11,75,65,22,34,80,35,36,89,4,22,6,74,2,20,34,26,46
52,59,0,45,33,5,21,41,65,34,7,42,0,49,26,86,9,30,4,65,2,14,30,21,36
53,149,20,246,124,19,83,24,125,97,40,84,102,31,85,287,1,40,4,309,4,34,119,106,126
54,51,7,184,46,0,33,1,43,39,0,11,31,47,34,160,0,10,10,162,2,5,68,61,77
55,90,26,243,139,5,136,25,167,113,80,71,71,132,76,276,3,78,8,202,0,23,85,58,178
56,72,21,83,32,8,47,22,46,73,21,43,75,73,48,164,5,17,16,86,0,20,34,13,29
57,130,11,238,92,12,72,4,74,58,32,59,60,35,59,178,5,60,3,151,4,23,70,44,61
58,98,33,134,63,8,47,34,85,79,8,61,78,70,51,193,5,25,24,123,6,20,40,30,31
59,126,4,93,73,18,116,46,114,107,15,74,131,100,54,204,7,59,14,143,14,25,55,49,127
60,82,30,57,49,10,88,31,102,66,23,67,76,106,52,166,2,31,22,120,0,27,56,28,33
61,96,22,69,77,9,85,19,90,101,65,68,112,97,68,248,4,39,29,109,4,30,67,84,89
62,90,27,112,49,1,72,36,85,75,37,61,70,46,63,189,1,40,18,119,16,30,57,117,76
63,79,6,233,51,7,42,4,69,66,13,28,75,54,40,199,2,60,10,199,6,25,34,61,79
64,99,11,161,87,8,73,16,106,70,31,81,92,76,63,292,1,51,13,148,2,47,90,55,129
65,45,15,84,21,12,27,44,38,43,15,38,85,57,39,76,4,22,4,53,6,27,37,29,56
66,77,30,156,43,13,48,54,98,99,51,68,100,98,63,253,2,40,25,96,6,34,65,139,86
67,68,26,104,46,9,70,45,75,50,20,49,87,79,60,121,1,29,12,104,18,18,54,59,79
68,64,20,68,19,4,30,24,86,57,27,35,63,49,44,125,1,18,15,70,4,25,36,50,30
69,50,31,180,39,15,75,10,67,66,5,60,89,57,101,286,5,49,16,178,18,32,90,89,132
70,47,5,97,65,1,73,3,25,27,15,83,81,61,54,192,3,27,1,76,0,23,57,99,70
71,88,16,159,42,17,65,7,91,2,0,45,79,85,57,183,2,26,10,138,0,23,22,29,107
72,67,26,182,80,16,79,8,93,120,19,47,105,61,44,200,1,17,4,176,2,31,38,94,89
73,106,32,116,44,6,78,4,99,66,19,53,71,52,54,267,11,48,22,156,4,33,82,41,104
74,70,9,155,60,14,41,1,46,52,7,23,68,44,32,156,1,13,4,193,2,16,35,18,79
75,91,15,139,51,12,72,19,61,68,10,42,75,50,51,215,8,42,31,147,0,17,68,24,104
76,71,14,128,43,4,46,6,78,62,5,39,42,70,44,80,4,14,19,71,4,10,51,52,61
77,88,26,114,67,5,62,33,99,93,38,73,94,92,41,198,9,37,22,108,6,33,68,99,91
